,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
226,Old Dominion,14,9,5,.643,1.80,-0.36,,1,1,,8,1,,0,2,,949,907,,560,348,807,.431,70,202,.347,183,293,.625,179,534,156,88,53,149,228
227,Omaha,15,5,10,.333,-7.60,3.40,,1,2,,3,3,,0,7,,1033,1155,,600,376,844,.445,87,260,.335,194,245,.792,121,462,193,96,55,205,253
228,Oral Roberts,15,12,3,.800,10.74,3.20,,3,0,,8,0,,4,3,,1275,1088,,600,462,987,.468,169,452,.374,182,238,.765,142,564,239,109,92,155,200
229,Oregon,14,8,6,.571,13.19,8.12,,2,1,,7,3,,0,1,,982,911,,560,354,782,.453,94,310,.303,180,272,.662,166,532,186,78,74,185,209
230,Oregon State,14,7,7,.500,-0.48,0.98,,1,2,,7,1,,0,3,,917,919,,560,315,712,.442,81,251,.323,206,272,.757,96,437,166,71,56,186,256
231,Pacific,17,8,9,.471,-2.33,-2.20,,1,1,,4,7,,4,2,,1260,1244,,690,441,985,.448,148,386,.383,230,328,.701,150,549,200,98,49,213,333
232,Penn State,14,11,3,.786,11.70,1.70,,2,1,,8,1,,1,1,,1064,924,,570,388,834,.465,154,397,.388,134,172,.779,85,483,219,74,34,123,210
233,Pennsylvania,15,8,7,.533,-0.53,0.19,,1,0,,5,3,,3,4,,1113,1091,,615,403,879,.458,126,361,.349,181,242,.748,154,557,234,84,49,195,276
234,Pepperdine,15,7,8,.467,4.19,4.42,,0,1,,6,2,,0,5,,1178,1144,,610,437,929,.470,133,349,.381,171,246,.695,135,570,230,87,73,220,257
235,Pittsburgh,14,10,4,.714,9.05,1.19,,3,0,,7,1,,3,1,,1061,951,,560,371,820,.452,123,360,.342,196,270,.726,163,559,208,80,57,188,226
236,Portland,17,8,9,.471,3.05,1.38,,0,2,,6,4,,1,4,,1319,1246,,680,440,960,.458,162,430,.377,277,390,.710,139,583,270,90,42,220,309
237,Portland State,14,6,8,.429,-2.73,3.85,,0,1,,3,1,,2,5,,1102,1025,,560,382,857,.446,112,335,.334,226,301,.751,153,469,204,116,40,184,325
238,Prairie View,14,5,9,.357,-6.45,1.55,,1,0,,4,0,,1,8,,973,1027,,560,356,867,.411,81,278,.291,180,254,.709,167,472,159,111,40,180,284
239,Presbyterian,15,5,10,.333,-12.18,-3.72,,1,1,,5,1,,0,7,,970,1026,,604,350,824,.425,87,294,.296,183,292,.627,169,513,170,81,48,193,272
240,Princeton,14,10,4,.714,3.55,-4.62,,1,0,,5,2,,3,1,,1061,911,,560,392,820,.478,122,338,.361,155,223,.695,134,554,207,78,46,186,209
241,Providence,15,12,3,.800,11.59,-0.88,,4,0,,8,0,,4,1,,1203,1016,,610,422,888,.475,91,268,.340,268,368,.728,193,602,226,121,76,200,222
242,Purdue,14,13,1,.929,18.64,3.21,,2,1,,7,1,,2,0,,1068,852,,565,361,793,.455,98,321,.305,248,331,.749,181,577,216,66,63,145,193
243,Purdue-Fort Wayne,15,10,5,.667,2.24,-0.53,,2,2,,6,1,,3,3,,1151,970,,606,413,923,.447,157,447,.351,168,246,.683,156,584,222,120,36,209,208
244,Queens (NC),15,11,4,.733,-2.65,-4.56,,1,1,,5,0,,4,4,,1206,1085,,600,418,913,.458,138,398,.347,232,325,.714,195,614,223,96,37,208,234
