,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
150,151,Montana,BSky,24,13-127–6,107.7115,106.5222,.5337151,52.960,50.3167,16.968,15.6331,23.8314,25.551,29.9235,37.6307,51.4128,52.5279,36.838,30.835,63345,-6.7201
151,152,Gardner Webb,BSth,23,14-119–4,99.2289,98.054,.5325152,50.9157,47.767,18.9221,20.956,26.8234,2671,33.3116,39.3330,51.5121,4636,33.1213,33.6157,65.6267,-7210
152,153,Wyoming,MWC,22,7-162–9,108.6101,107.4240,.5310153,52.576,53.6312,18.2156,16.3302,24.3304,24.327,32.5136,26.151,52.967,52.7290,34.6149,36.6315,65.6266,-9.2256
153,154,Fresno St.   (A) 44 Nevada,MWC,22,9-145–7,101.7234,100.795,.5303154,48.5274,49.8145,18.7198,19.991,24.7295,30.4252,26.3316,30.6171,50.2172,47.368,30.6326,35.9290,63.7334,-6.8205
154,155,St. Bonaventure,A10,25,13-127–5,102.8209,101.8115,.5299155,49245,48.282,18.2156,19.3118,28.3196,28.4175,30.4207,40.8338,46.8303,51.9262,35.3104,28.36,65.3281,-7.2215
155,156,Eastern Kentucky,ASun,23,17-910–3,105.5161,104.4170,.5296156,48.1285,50.1161,17.285,18.9142,32.467,30.6259,26.2319,26.861,47.6279,49.3136,32.7237,34.2193,70.339,-3.9134
156,157,Richmond,A10,25,12-135–7,103.8192,102.7136,.5295157,51.5123,49.6140,17.394,16.7286,21.8342,24.735,33.4111,26.758,51.7108,48.6117,34.2169,34179,65294,-7.3216
157,158,UNC Wilmington,CAA,24,19-79–4,102.5217,101.5109,.5287158,48.7262,48.8101,18.7198,20.570,29.3163,28.8196,41.111,37.9310,48.5252,50.8209,32.7237,30.123,64.8299,-1.681
158,159,Cal Baptist,WAC,24,13-125–7,103.8191,102.8138,.5274159,49.3235,47.663,18136,16.6289,29.7150,26.177,31.2175,28.6115,50.1180,48.8123,32.2266,30.123,63.9328,-7.7224
159,160,DePaul,BE,25,9-163–11,106.5135,105.6203,.5244160,49.4230,51.3222,18136,18.1194,25.8270,33.7344,28.8261,37.4306,46.9298,50.8209,35.499,34.8231,6993,-6.3189
160,161,Radford,BSth,24,16-1010–3,103.0204,102.2128,.5220161,51.3134,52263,18.8210,21.342,30.2128,27.6140,29.6244,32.9227,50.6163,52.5279,35.3104,34.2193,65.1288,-5.3154
161,162,Notre Dame,ACC,24,10-142–11,109.485,108.6264,.5211162,52.669,52.8294,13.42,14358,20.3350,25.143,23.2354,23.618,50.8153,52.8291,36.643,35.1249,64.3318,-8.3237
162,163,Air Force   (H) 35 New Mexico,MWC,25,12-133–9,105.7156,105.0181,.5202163,53.835,48.590,18.4176,17.2251,22.4335,29.4215,31.2175,35.6281,54.926,50.7205,35123,29.112,62.5352,-6.5196
163,164,Stetson,ASun,22,14-109–4,111.551,110.8304,.5201164,53.835,52.2273,16.342,15.6331,29.6155,30.9277,24.7339,29.7141,49.9184,53.2305,398,33.8168,64324,-4.5143
164,165,Longwood,BSth,24,17-99–4,102.6213,101.9123,.5192165,50.8162,50.4173,18.3167,21.735,32.369,26.595,3496,32.4218,49.8191,49.7153,35123,34.2193,66.1243,-5.4162
165,166,Siena   (A) 290 Mount St. Mary's,MAAC,24,15-99–4,103.5196,103.0142,.5138166,50.2192,49.1117,19.7266,18.2186,30.2128,25.448,34.587,34252,48.4255,50171,3673,31.245,66.6217,-5.3155
166,167,Troy,SB,23,15-117–6,101.5240,101.2100,.5107167,48.9249,4879,19.9272,21.537,30.3120,30.9277,31.1179,36.2288,50.7159,47.679,30.9317,32.5106,67.5163,-5.5163
167,168,Portland,WCC,25,13-145–7,107.6119,107.3238,.5078168,53.444,53.6312,18.7198,17.9205,24.5299,29.8231,44.45,27.680,51.7108,52.5279,3736,36.8319,69.476,-6.4190
168,169,Saint Joseph's,A10,24,12-126–6,103.8190,103.6158,.5062169,50.2192,50.4173,18.4176,19.6104,29.8147,31284,32.8127,32.2211,50.1180,48.9126,33.5199,34.8231,69.187,-6.9208
169,170,Western Kentucky,CUSA,23,14-116–8,106.7129,106.6225,.5015170,50.4181,50.5181,16.237,18.3176,25.4274,31.1291,33.5109,27.781,49232,47.267,35.3104,36.8319,67.3176,-5.9175
170,171,George Mason,A10,25,13-125–7,101.7233,101.7113,.5003171,52.765,48.487,20.6305,16.8274,28.4192,25.448,35.178,31179,51.6112,49.5146,36.356,30.940,66.7211,-6.6197
171,172,Cleveland St.   (H) 264 Robert Morris,Horz,23,14-119–5,105.0171,105.0180,.4994172,49.9213,48.8101,17.285,21.441,33.637,35.6358,30.8195,32.3214,51.2135,49.4143,31314,3279,64.7306,-6.9207
172,173,Buffalo   (H) 78 Kent St.,MAC,22,12-126–5,105.9153,105.9211,.4982173,50.5176,51.7243,19.6258,18.7150,33.151,29.8231,33.1121,38.3318,51.5121,51.7250,32.3261,34.5208,73.15,-6.3188
173,174,Georgetown,BE,25,6-191–13,106.1144,106.2216,.4969174,48.1285,52.7292,17.4100,15.9324,30.1134,30.9277,30.1222,24.125,48.6248,49.9164,31.3301,38.1346,68139,-10274
174,175,Boston College,ACC,25,12-136–8,102.8210,102.9141,.4966175,48.1285,52263,17.8122,19.2127,27.6216,28.3167,27.8288,27.477,49232,49.8160,30.7321,36.9323,66.5227,-5.4160
175,176,SMU,Amer,25,9-164–8,102.0224,102.2130,.4950176,47.2311,50151,18.1148,18.2186,27231,30.6259,32.4138,31.3189,47.1292,49.8160,31.6292,33.5150,69.284,-7.4217
176,177,Chattanooga,SC,23,13-135–8,109.189,109.3279,.4942177,5357,51.4226,18.5184,16.2309,29.3163,27.6140,32.6131,27.886,49.7202,50.4189,37.328,35.2254,67.2177,-8.1232
177,178,Fordham,A10,24,19-57–4,101.0257,101.2101,.4942178,48.9249,46.938,19.1231,19.898,29.2170,25.551,37.740,34.3260,49.8191,45.830,31.7289,32.8119,69.472,-0.865
178,179,Ohio   (H) 102 Akron,MAC,23,13-115–6,109.093,109.3278,.4935179,52.386,51.8249,16.863,16.8274,32.467,29.3212,27.1303,33.6239,50.9151,50.4189,36.356,35.9290,67.9145,-5.8174
179,180,Lipscomb,ASun,23,16-108–5,102.8208,103.2151,.4901180,53.444,49112,18.4176,16.4298,26259,26.281,23.4353,23.112,53.947,48.2103,35.1117,33.6157,6995,-5.7169
180,181,Pacific,WCC,24,12-145–6,106.5134,107.0234,.4869181,51.5123,53.3303,16.237,18.5164,23.9311,31.6311,32.4138,36.9295,48.5252,54.6329,37.525,34.2193,69.853,-8.3236
181,182,Florida St.,ACC,25,8-176–8,106.7128,107.2237,.4858182,49.8216,52263,17.8122,17.2251,25.9261,32.3320,31184,29.9151,49.2220,50.3185,34179,36.4306,69.185,-8.7244
182,183,Harvard,Ivy,21,12-113–6,98.8293,99.375,.4857183,49.1241,48.384,20.3294,17.8212,29.3163,23.920,31184,24.529,52.290,48.9126,29.3344,31.450,65.9249,-6.2185
183,184,UC Riverside,BW,24,16-99–4,104.6176,105.4195,.4779184,49.8216,50.8190,18.4176,16.8274,31.492,22.15,26.7308,38.2316,47.9271,50.3185,35.3104,34.8231,67.1186,-3.1115
184,185,Rice,CUSA,21,15-96–7,108.0111,108.9275,.4737185,5429,53.7316,18.8210,16.8274,24.4303,25.966,35.273,26.353,54.338,53.8320,35.784,35.7280,70.243,-3.8131
185,186,Abilene Christian,WAC,20,13-115–6,106.1147,107.1235,.4730186,50.8162,55.3347,18136,23.610,25.8270,29.6220,32.2145,45.8358,49232,56.6354,36.260,35.1249,69.191,-6180
186,187,Texas A&M Corpus Chris,Slnd,21,16-99–3,107.0124,108.2252,.4696187,50.8162,53.9324,18.1148,21.537,32.369,27.6140,33.8102,42.5348,48.8237,55.3343,36.260,34.7222,69.568,-5.4161
187,188,UTEP,CUSA,22,11-134–9,96.7324,97.849,.4684188,48291,49.5134,22.2346,22.921,31.786,28.5180,39.223,36.7290,5295,50.5197,26363,31.973,66.2236,-7.5218
188,189,Grambling St.,SWAC,21,15-88–3,100.6265,101.8116,.4675189,49.8216,46.835,22.5349,2087,31.198,28.6183,40.316,43.7351,48.7243,46.342,35123,31.759,67194,-4137
189,190,Drexel,CAA,24,14-118–5,101.1254,102.5132,.4626190,49.4230,47.870,17.5105,18.4168,29.3163,27.5134,27304,24.125,50.2172,46.648,32.2266,33.7161,63.5337,-7.2214
190,191,Wright St.   (H) 192 Northern Kentucky,Horz,24,15-118–7,104.2185,105.5199,.4623191,53.154,50.9194,17.5105,18.1194,27.2226,24.735,24.5341,28.4108,5445,51.9262,33.8187,32.8119,71.917,-7.8226
191,192,Northern Kentucky   (A) 191 Wright St.,Horz,23,15-1010–4,100.2273,101.5110,.4606192,48.1285,51.9258,17.9129,24.49,31.198,33.2332,26.4314,31.5196,47.2290,4897,32.9227,38.6354,62.2356,-5.9178
192,193,Bryant,AE,22,16-87–4,105.8155,107.5241,.4565193,52.576,50.3167,18.7198,16.8274,28.4192,26.177,34.393,31.3189,52.577,49.8160,35.1117,34179,72.96,-3.5126
193,194,Old Dominion,SB,24,15-107–6,103.4199,105.0178,.4561194,47.2311,48.693,1775,18.1194,3352,28.9201,36.353,34.2258,46.8303,49.1134,32279,31.973,64.8300,-5.2152
194,195,Georgia Southern,SB,23,13-136–7,102.0227,103.6159,.4548195,48291,50.4173,16.237,18.3176,26.7236,27.1118,26322,34.6270,49.2220,49.3136,30.5328,34.9239,66.1245,-8.4238
195,196,FIU,CUSA,23,13-127–7,101.4243,103.1148,.4525196,5298,51.3222,21.2324,2319,25288,35.4355,27.8288,27.886,54.729,50171,31.6292,35.4268,70.144,-6.2187
196,197,South Dakota St.,Sum,24,14-119–4,102.7212,104.4171,.4522197,51.5123,51.2217,18.2156,17.5234,20.2351,26.8111,28284,23.415,51.3132,53296,34.6149,32.395,67.1187,-4.7144
197,198,George Washington,A10,23,12-126–5,109.780,111.6317,.4513198,53.639,53.2300,18.2156,16.2309,26.7236,28.8196,34.783,26.963,56.316,53.2305,33.1213,35.4268,68.8100,-7.8227
198,199,Massachusetts,A10,24,13-114–8,103.0203,104.9176,.4484199,47.3309,50.3167,19.5251,19.3118,33.637,28.3167,33.7104,33.5237,45.5333,51.4234,34.4162,32.4100,70.929,-5.7168
199,200,San Diego,WCC,24,11-154–8,111.552,113.5338,.4469200,51.4131,57.4361,16.342,17.6222,28.5190,29.1209,32.6131,33.7244,50.3168,55337,35.690,40.6362,68.6114,-9254
200,201,Northern Iowa,MVC,24,12-138–7,102.2222,104.1167,.4468201,51.4131,53.1297,18.3167,19137,23.2324,22.15,31.4171,24.428,51.8104,53296,33.9184,35.5270,67.2180,-8.2235
201,202,Rider   (H) 246 Fairfield,MAAC,21,13-910–3,105.7157,107.8247,.4442202,48.9249,49.1117,18.5184,16320,34.227,28.7191,30.3213,37298,48.8237,46.648,32.8232,34.7222,65.2283,-4.9148
202,203,Georgia Tech,ACC,23,9-152–12,100.9260,103.2150,.4360203,46.7322,49.9147,16.863,16.2309,28.3196,30.7267,22.6356,31.6198,46.7307,51.2225,31.1311,31.654,66.5219,-7.6222
203,204,Pepperdine,WCC,24,9-172–10,103.8193,106.3218,.4318204,51.5123,51.5233,18.5184,17.1257,25.9261,30.2246,27304,32.9227,51144,50.6201,34.8141,35.5270,72.410,-9.6264
204,205,Norfolk St.,MEAC,19,16-75–2,108.3103,111.1309,.4284205,5357,51.6237,19.1231,17.6222,31.978,31.3301,35.273,34.4263,54.534,50.4189,33.7190,35.2254,65.2284,-2.7101
205,206,Army,Pat,24,14-128–5,105.9154,108.6265,.4272206,54.821,51.8249,19.6258,16.2309,25.9261,23.718,31.6165,29.3130,55.124,53.4315,36.167,32.7115,68.4121,-9.4259
206,207,UNC Asheville,BSth,24,19-711–2,101.3246,104.0166,.4265207,53.444,48.8101,20.1286,19.1130,25.4274,29.8231,39.520,29.5136,50.7159,49.9164,38.611,31.245,68.4124,-2.8106
207,208,Weber St.,BSky,23,13-128–4,99.2288,101.8119,.4264208,50.6171,53.4306,19.9272,19.2127,20352,21.32,35.371,32.7224,51.5121,52.6289,32.7237,36.4306,65.2285,-6.5195
208,209,Navy,Pat,24,14-117–6,104.3181,107.2236,.4225209,52.960,51.8249,18.2156,19137,29.9145,27114,22.3357,29.3130,50.2172,51.1222,38.413,35.2254,64.7304,-7.1211
