,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
28,VCU,A10,34,24–10,111.4,93.8,.8775,50.9,49,16.2,21.9,33.3,27.8,32.3,37,49.6,48.4,35.6,33.6,70.3,0
29,Baylor,B12,32,21–11,117.8,99.3,.8764,51.7,51,18.9,19.8,40.2,28.8,39.2,38.1,49.9,48.7,37.4,37.1,67.3,3.5
30,Utah,P12,33,25–8,115.2,97.3,.8745,55.2,47.4,17.8,15.2,29,28,38.4,23.4,55.8,43.8,36,36.8,67,5.7
31,Connecticut,Amer,34,24–10,110.4,93.3,.8731,52,44.2,16.5,18.1,29.1,29.2,29.7,34.5,50.9,41.3,36.2,32.7,66.9,1.2
32,Cincinnati,Amer,32,22–10,109.5,92.7,.8708,49,45.3,16.4,20.6,36.8,30.6,33.5,26.9,47.5,40.9,34.5,35.6,66.2,0.4
33,Pittsburgh,ACC,31,20–11,115.3,98.2,.8633,51.3,50.5,17.4,17.1,37.4,27.5,36.6,32.6,50.7,48.7,35.1,35.8,66.6,1.8
34,Syracuse,ACC,32,19–13,110.8,94.6,.8603,50.4,47.5,18.3,20.6,33,35.3,35.5,29.4,47.6,48.7,36.1,30.4,65.7,-0.3
35,Texas,B12,32,20–12,111.5,95.3,.8600,49.3,47.5,15.4,18.5,30.7,32.3,39.7,37.5,48.5,45.6,33.9,34.3,66.3,3.1
36,Florida,SEC,33,19–14,108.2,92.7,.8567,47.9,46.4,16.3,18.4,33,29.5,41,36.4,48.6,43.9,31.2,34.5,69.8,0.1
37,Saint Joseph's,A10,34,27–7,113.0,96.9,.8546,51.3,47.9,14.3,16.2,28.3,25.8,37.7,24.5,52.5,48.9,32.7,31,71.2,3.6
38,Valparaiso,Horz,30,24–6,106.4,91.3,.8535,50.6,44.5,19,18.9,36.2,24.2,35.8,40.3,47.8,40.9,36.8,34.6,67.3,0.6
39,USC,P12,33,21–12,113.8,98.0,.8471,52,47.3,16.5,16.9,32.4,31.9,35.3,28.5,49.2,46.7,38.5,32.3,72.3,0.2
40,Dayton,A10,32,25–7,106.8,92.6,.8373,52,46.9,18.8,17.9,28.9,23.6,41,32.5,52,43.7,34.7,34.9,68.5,2.6
41,Kansas St.,B12,33,17–16,107.9,93.6,.8365,47.6,49,20.3,20.8,37,31,42.5,40.4,48.7,50.4,30,31,67.7,-1.4
42,Wisconsin,B10,32,20–12,110.2,95.6,.8360,49,48.5,17,18.8,33.6,28.2,39.7,34.3,46.6,45.1,35.8,38,64.2,0.5
43,Creighton,BE,32,18–14,112.4,97.6,.8350,53.7,49.7,15.9,17.5,26.6,26.2,37.4,33.3,54.3,48.2,35.2,35.2,71.3,-1.9
44,Michigan,B10,33,21–12,114.7,99.7,.8333,55,51.2,14.7,17.7,24.4,26.3,28.4,26.8,52.9,50.7,38.4,34.7,66.5,0.9
45,Providence,BE,33,23–10,108.9,95.1,.8267,48.1,48.8,16.3,20.7,30.9,30.2,37.7,27.8,48.1,49.2,32.1,32.1,69.5,3.3
46,Notre Dame,ACC,32,21–11,118.4,103.5,.8251,53.5,49.2,14.8,14.8,32.8,31.3,33.2,26.9,52.5,45.5,36.9,37.6,65.9,2.3
47,South Carolina,SEC,31,23–8,107.8,94.4,.8223,48,47,19.1,20.7,38,29.2,44.8,38.8,45.7,42.9,35.5,35.2,71.4,1.9
48,Georgia Tech,ACC,33,19–14,112.9,98.9,.8211,49.3,49.2,16.5,14.8,37.5,27.5,32.4,32.1,48.1,49.7,35,32,68,-0
49,Texas Tech,B12,31,19–12,112.4,98.5,.8202,49.9,49.3,17.7,18.9,31.7,32.4,43.1,32.9,49.2,47.2,34.5,35.2,67.3,1.3
50,San Diego St.,MWC,32,23–9,102.9,90.5,.8151,47,42.4,18.8,18.3,33.6,26.8,44.3,31.9,46.4,41.4,32.2,29.4,65.9,0.2
51,Yale,Ivy,27,21–6,108.2,95.3,.8120,52.5,46.3,20.1,18.2,39.2,24,42.1,33.8,51.1,45.5,37.1,31.8,66.8,0.1
52,Clemson,ACC,31,17–14,111.4,98.2,.8111,50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,64.5,-2.4
53,Florida St.,ACC,32,19–13,111.6,98.4,.8090,52.2,50.7,18.1,19.1,32.9,28.7,37.6,37,52.2,49,34.7,35.8,72.7,0.2
54,BYU,WCC,32,22–10,111.4,98.5,.8044,52.8,48,15.7,17.7,31.4,24.8,35.2,32.1,50.2,46.6,38.2,33.6,74.3,-1.4
55,Colorado,P12,32,21–11,107.8,95.4,.8037,48.4,46.9,18.8,15.4,35,24.6,40,35.5,43.7,44.4,38.9,35.3,69.9,0.7
56,George Washington,A10,33,23–10,112.9,99.9,.8033,50.4,49.3,16.7,17.4,34.3,27,39.9,27.9,48,48.3,36.8,34.1,67.2,-0.7
57,Georgetown,BE,33,15–18,110.8,98.3,.7985,51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,51.4,44.1,33.9,34.9,68.9,-4.2
58,Washington,P12,32,18–14,109.1,97.1,.7930,48.1,47.6,17.6,20.7,33.2,35.6,40.7,44.5,47.2,47,33.3,32.7,77.8,-2.2
59,Princeton,Ivy,27,21–6,111.4,99.5,.7868,54.5,49.3,16.3,18.4,28.2,26,34.6,30,52,47.5,38.7,35.9,69.6,0.1
60,Georgia,SEC,32,19–13,106.8,95.4,.7855,47.9,44.7,19.6,15.6,32.5,29.8,44.3,41.5,44.6,42,36.6,32.7,67.8,-0.8
61,Hawaii,BW,30,25–5,107.3,95.9,.7849,52.5,44.9,18.4,19.9,30.9,26.7,46.3,39.3,54.6,43.8,32.8,31.3,71.4,1
62,Oregon St.,P12,30,18–12,109.8,98.1,.7849,49.9,49.4,16.8,19.5,29.4,32.3,37.2,39.3,47.1,49.5,37.3,32.8,68,0.3
63,UCLA,P12,32,15–17,111.9,100.0,.7847,50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,48.8,47.6,36.3,35.4,70.4,-3.8
64,Little Rock,SB,31,27–4,106.9,95.6,.7847,52.4,45.1,15.9,21.4,26.9,30.1,31.4,38.3,49.4,45.1,38.7,30.1,63.9,2.2
65,Northern Iowa,MVC,33,21–12,108.8,97.6,.7763,53.3,48.6,15.2,18.7,17.8,27.2,32.8,23.6,51.5,48.5,37.2,32.6,63.4,-2
66,Houston,Amer,31,22–9,116.0,104.2,.7752,52.4,46.9,15.5,18.4,36.2,33,34.8,36.7,52.2,48.1,35.2,29.8,67.4,-1.1
67,LSU,SEC,33,19–14,111.6,100.3,.7748,51.1,51.8,16.2,18.8,29.8,29.9,43,33.4,52,51.3,32.7,35,72.9,-1.8
68,Stephen F. Austin,Slnd,28,23–5,108.5,97.6,.7717,55.5,49.6,18.2,25.9,33.5,29.7,33.9,40.1,55.1,49.5,37.5,33.2,68.4,-1.1
69,Arkansas,SEC,32,16–16,110.0,99.5,.7598,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71,-4.6
70,North Carolina St.,ACC,33,16–17,112.7,102.5,.7481,48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,46.9,47.5,34.8,37.4,68.5,-4
71,Alabama,SEC,32,18–14,105.3,95.8,.7477,50.1,46.4,20,18.1,28.2,34.3,41.2,39.8,49.1,44.9,34.3,32.8,65.8,-0.6
72,Tulsa,Amer,31,20–11,109.2,99.4,.7475,50.4,48.3,15.5,20.6,28,30.4,40,34.8,51,44.7,32.9,36.3,69.5,-1.1
73,Northwestern,B10,32,20–12,109.6,99.7,.7466,52.5,46.5,15.8,16.4,30.5,28.3,28.4,35,51.6,43.4,35.8,34.5,64.5,-1.9
74,Rhode Island,A10,32,17–15,108.0,98.3,.7464,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,65.7,-5.8
75,Virginia Tech,ACC,33,19–14,108.3,98.6,.7461,50.1,49,18.2,18.3,29.9,32.4,49.7,33.3,48.7,50.3,35.7,31.1,70.6,-0.5
76,South Dakota St.,Sum,31,24–7,110.5,100.7,.7446,51.4,47.7,17.1,17.1,32.4,25.5,40.6,39.7,49.7,46.8,36.2,33.1,69.3,-1
77,Evansville,MVC,33,24–9,106.9,97.4,.7438,53.4,45.9,18.2,18.4,24.5,25,46.9,29.4,53.2,44.4,35.9,32.6,69.6,-1.3
78,Marquette,BE,33,20–13,107.6,98.1,.7430,52,48.7,20,19,28.1,30.7,40.5,28,52.4,47.2,33.9,34.3,71.3,-1
79,St. Bonaventure,A10,30,22–8,112.9,103.0,.7420,51.6,49.5,16.5,18.9,31,33,37.8,37.8,48.6,50.5,37.7,31.9,68.9,0
80,Memphis,Amer,34,19–15,105.5,96.3,.7403,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.5
81,Ohio St.,B10,33,20–13,105.5,96.3,.7401,50,46.7,18.8,17.4,29.9,28.7,36.3,30.7,49.5,44.2,34,34.1,68.8,-1
