,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
127,Iowa State,12,10,2,.833,15.66,1.57,,1,0,,8,0,,0,1,,857,688,,66.8,105.7,.259,.339,.543,50.0,61.0,16.0,9.3,.521,16.5,32.9,.178
128,IUPUI,15,3,12,.200,-21.45,-6.22,,0,4,,2,3,,0,6,,907,1069,,67.5,89.6,.269,.290,.505,47.1,42.2,9.0,7.5,.474,21.3,26.0,.192
129,Jackson State,14,2,12,.143,-11.88,3.33,,1,0,,0,0,,2,10,,926,1139,,72.2,91.1,.239,.341,.485,51.3,52.3,10.3,6.5,.464,20.6,33.6,.152
130,Jacksonville,13,8,5,.615,-2.31,0.59,,1,1,,5,0,,3,5,,853,766,,63.4,103.5,.227,.407,.557,53.4,63.2,9.8,9.2,.535,17.6,28.0,.165
131,Jacksonville State,15,7,8,.467,-9.16,-1.66,,0,2,,5,1,,1,6,,1077,1065,,67.0,106.2,.305,.423,.550,50.9,51.1,9.2,8.7,.524,16.3,30.6,.210
132,James Madison,15,11,4,.733,10.85,-3.57,,2,0,,5,0,,4,3,,1346,979,,75.2,116.4,.356,.348,.590,55.2,45.5,15.1,7.2,.566,15.5,36.2,.247
133,Kansas,13,12,1,.923,21.26,7.72,,1,0,,8,0,,1,0,,1015,839,,70.3,110.1,.252,.341,.564,52.7,61.0,13.6,11.9,.544,15.2,31.8,.174
134,Kansas City,16,6,10,.375,-4.54,0.32,,2,1,,3,3,,1,6,,1055,1067,,66.5,96.9,.340,.359,.492,53.3,42.9,10.2,12.2,.450,18.6,37.7,.242
135,Kansas State,13,12,1,.923,14.94,1.33,,1,0,,8,0,,1,1,,983,806,,68.9,107.7,.348,.331,.551,52.3,67.4,11.8,8.3,.520,16.3,33.4,.244
136,Kennesaw State,15,10,5,.667,-3.88,-1.04,,2,0,,6,0,,3,4,,1093,1001,,71.4,102.1,.365,.420,.538,49.5,56.2,13.1,7.9,.516,16.5,27.2,.231
137,Kent State,13,10,3,.769,12.97,2.97,,0,0,,6,0,,3,3,,972,791,,71.3,104.9,.257,.398,.543,48.2,46.6,14.7,9.5,.511,15.2,26.4,.195
138,Kentucky,13,9,4,.692,14.19,1.34,,0,1,,8,0,,0,2,,1027,860,,68.2,113.6,.309,.334,.556,55.8,61.2,11.1,11.6,.535,14.8,39.0,.203
139,La Salle,14,6,8,.429,-6.67,-1.60,,0,1,,4,3,,2,3,,954,1025,,69.6,96.3,.275,.359,.502,48.4,47.7,10.8,7.4,.473,16.3,27.0,.189
